المحصول,المحافظة,نوع_التربة,طريقة_الري,جودة_البذور,نوع_السماد,كمية_السماد_بالكغم,الحرارة,الرطوبة,الإنتاج_بالدونم
تمور,بغداد,رملية,رش محوري,محسنة,مركب (NPK),111.0,26.0,51.6,2517.0
تمور,بابل,طينية,سيحي/غمر,محسنة,عضوي,112.0,31.9,38.9,1561.0
حنطة,البصرة,طينية,سيحي/غمر,عادية,يوريا (N),65.0,28.3,60.1,1058.0
حنطة,ميسان,طينية,سيحي/غمر,محسنة,مركب (NPK),81.0,31.1,50.5,1272.0
حنطة,الأنبار,رملية,سيحي/غمر,عادية,عضوي,54.0,34.4,59.1,1151.0
تمور,كربلاء,طينية,تنقيط,عادية,يوريا (N),77.0,36.3,20.4,1530.0
رز,كربلاء,رملية,رش محوري,عادية,داب (DAP),92.0,28.7,76.7,1443.0
خضراوات,الأنبار,طينية,رش محوري,محسنة,مركب (NPK),112.0,22.7,68.0,2904.0
خضراوات,بغداد,رملية,سيحي/غمر,محسنة,مركب (NPK),91.0,33.2,60.6,2130.0
شعير,واسط,مختلطة,رش محوري,محسنة,يوريا (N),47.0,35.7,58.7,1490.0
تمور,البصرة,طينية,تنقيط,محسنة,مركب (NPK),105.0,17.6,44.8,2146.0
خضراوات,ميسان,رملية,رش محوري,محسنة,عضوي,27.0,28.2,71.4,2624.0
خضراوات,الموصل,طينية,تنقيط,عادية,عضوي,27.0,24.4,50.7,2614.0
حنطة,كربلاء,مختلطة,سيحي/غمر,محسنة,داب (DAP),67.0,26.6,74.9,1401.0
خضراوات,ميسان,مختلطة,تنقيط,عادية,داب (DAP),73.0,18.1,63.8,2163.0
خضراوات,ميسان,رملية,تنقيط,محسنة,داب (DAP),75.0,29.7,24.5,2826.0
حنطة,كربلاء,رملية,تنقيط,محسنة,عضوي,73.0,23.1,21.3,1183.0
فواكه,كربلاء,رملية,رش محوري,محسنة,داب (DAP),52.0,16.9,53.1,2798.0
تمور,بغداد,رملية,تنقيط,عادية,عضوي,26.0,16.9,63.3,1010.0
خضراوات,بغداد,رملية,سيحي/غمر,محسنة,داب (DAP),118.0,39.3,23.3,1412.0
خضراوات,بغداد,مختلطة,تنقيط,عادية,داب (DAP),30.0,34.4,78.1,2382.0
حنطة,واسط,رملية,سيحي/غمر,عادية,مركب (NPK),86.0,29.5,57.4,682.0
شعير,الأنبار,مختلطة,تنقيط,عادية,يوريا (N),31.0,17.0,62.4,519.0
فواكه,واسط,مختلطة,سيحي/غمر,محسنة,مركب (NPK),100.0,43.9,56.5,3518.0
خضراوات,ديالى,مختلطة,تنقيط,عادية,عضوي,111.0,42.5,71.3,2218.0
خضراوات,بغداد,رملية,تنقيط,محسنة,مركب (NPK),112.0,22.0,70.7,3724.0
رز,الموصل,مختلطة,سيحي/غمر,عادية,يوريا (N),35.0,35.3,74.5,1222.0
تمور,كربلاء,طينية,سيحي/غمر,عادية,يوريا (N),94.0,42.8,20.5,1048.0
ذرة,النجف,طينية,تنقيط,محسنة,داب (DAP),38.0,33.7,78.2,864.0
حنطة,كربلاء,طينية,سيحي/غمر,محسنة,يوريا (N),25.0,19.3,46.5,986.0
حنطة,بابل,مختلطة,رش محوري,محسنة,داب (DAP),50.0,26.0,23.2,1521.0
حنطة,واسط,رملية,سيحي/غمر,محسنة,داب (DAP),105.0,19.6,41.4,1368.0
رز,واسط,طينية,رش محوري,محسنة,مركب (NPK),103.0,28.6,30.2,2016.0
خضراوات,الأنبار,طينية,تنقيط,محسنة,مركب (NPK),116.0,42.4,72.4,2101.0
ذرة,بغداد,طينية,سيحي/غمر,محسنة,داب (DAP),96.0,38.7,47.2,938.0
تمور,بغداد,مختلطة,تنقيط,عادية,عضوي,47.0,38.1,74.1,1258.0
خضراوات,كربلاء,مختلطة,سيحي/غمر,محسنة,داب (DAP),93.0,22.8,69.1,3659.0
رز,كربلاء,مختلطة,رش محوري,محسنة,يوريا (N),56.0,16.1,26.1,1023.0
ذرة,ميسان,رملية,سيحي/غمر,عادية,داب (DAP),118.0,31.2,69.1,781.0
شعير,ميسان,مختلطة,تنقيط,محسنة,عضوي,71.0,31.5,75.8,1203.0
رز,ديالى,مختلطة,سيحي/غمر,محسنة,داب (DAP),79.0,35.3,33.6,1498.0
رز,الأنبار,مختلطة,تنقيط,محسنة,عضوي,111.0,41.9,61.1,1305.0
شعير,الموصل,طينية,رش محوري,عادية,عضوي,117.0,30.6,29.0,928.0
شعير,بغداد,طينية,تنقيط,عادية,يوريا (N),39.0,38.9,38.3,601.0
شعير,بابل,طينية,رش محوري,عادية,يوريا (N),43.0,39.2,34.8,625.0
فواكه,الأنبار,رملية,رش محوري,عادية,عضوي,57.0,34.7,34.0,3416.0
حنطة,واسط,رملية,رش محوري,محسنة,داب (DAP),47.0,35.5,32.5,1657.0
تمور,ميسان,رملية,رش محوري,محسنة,يوريا (N),75.0,33.3,42.9,1444.0
خضراوات,كربلاء,مختلطة,سيحي/غمر,عادية,داب (DAP),68.0,39.0,36.0,1504.0
حنطة,بابل,طينية,رش محوري,عادية,عضوي,62.0,15.4,29.2,981.0
حنطة,واسط,مختلطة,سيحي/غمر,محسنة,مركب (NPK),56.0,16.1,54.5,976.0
شعير,بغداد,رملية,تنقيط,عادية,عضوي,101.0,15.3,45.0,985.0
فواكه,ديالى,رملية,سيحي/غمر,محسنة,عضوي,85.0,19.3,65.9,2849.0
فواكه,كربلاء,رملية,سيحي/غمر,عادية,يوريا (N),28.0,17.2,79.6,665.0
حنطة,النجف,مختلطة,تنقيط,عادية,مركب (NPK),44.0,20.3,30.7,1430.0
حنطة,بغداد,مختلطة,رش محوري,محسنة,مركب (NPK),117.0,38.8,74.3,1192.0
شعير,الأنبار,طينية,رش محوري,عادية,داب (DAP),95.0,27.9,37.2,1694.0
شعير,الموصل,رملية,تنقيط,عادية,يوريا (N),58.0,31.6,55.9,972.0
حنطة,كربلاء,رملية,رش محوري,عادية,يوريا (N),117.0,27.3,40.0,940.0
رز,واسط,طينية,تنقيط,محسنة,عضوي,36.0,30.8,23.4,801.0
فواكه,البصرة,مختلطة,تنقيط,محسنة,مركب (NPK),92.0,27.8,40.0,2587.0
ذرة,بغداد,طينية,رش محوري,محسنة,يوريا (N),23.0,31.1,76.1,1164.0
شعير,ميسان,مختلطة,رش محوري,عادية,داب (DAP),89.0,22.0,23.6,1290.0
فواكه,بغداد,رملية,سيحي/غمر,محسنة,يوريا (N),63.0,42.6,74.2,794.0
ذرة,واسط,طينية,رش محوري,محسنة,داب (DAP),93.0,37.4,50.9,1266.0
خضراوات,كربلاء,طينية,سيحي/غمر,عادية,داب (DAP),87.0,21.8,75.9,3678.0
تمور,بغداد,مختلطة,سيحي/غمر,محسنة,عضوي,49.0,44.8,57.7,1271.0
ذرة,ديالى,مختلطة,رش محوري,عادية,يوريا (N),119.0,24.1,43.6,1222.0
حنطة,البصرة,طينية,تنقيط,محسنة,عضوي,73.0,24.9,37.1,1168.0
شعير,النجف,طينية,سيحي/غمر,محسنة,يوريا (N),93.0,24.7,47.9,1824.0
خضراوات,النجف,طينية,سيحي/غمر,عادية,مركب (NPK),85.0,34.8,50.6,3011.0
حنطة,الموصل,رملية,تنقيط,عادية,عضوي,61.0,39.0,51.8,1060.0
خضراوات,الأنبار,مختلطة,تنقيط,محسنة,عضوي,105.0,21.9,68.1,3351.0
خضراوات,واسط,طينية,تنقيط,عادية,مركب (NPK),72.0,23.8,30.4,2444.0
تمور,الأنبار,مختلطة,رش محوري,عادية,عضوي,110.0,21.3,54.0,2088.0
خضراوات,ديالى,طينية,سيحي/غمر,عادية,عضوي,45.0,24.6,25.6,1961.0
حنطة,البصرة,طينية,سيحي/غمر,عادية,عضوي,85.0,29.9,38.6,1836.0
رز,بابل,طينية,سيحي/غمر,عادية,داب (DAP),81.0,21.9,72.9,1109.0
خضراوات,الأنبار,مختلطة,سيحي/غمر,عادية,عضوي,35.0,34.2,44.8,1728.0
ذرة,بغداد,رملية,سيحي/غمر,عادية,مركب (NPK),95.0,34.3,37.9,854.0
فواكه,بغداد,رملية,تنقيط,محسنة,مركب (NPK),65.0,32.3,58.6,3373.0
خضراوات,ديالى,رملية,سيحي/غمر,محسنة,داب (DAP),41.0,31.1,76.1,2201.0
فواكه,كربلاء,مختلطة,سيحي/غمر,محسنة,عضوي,35.0,26.1,71.3,2257.0
تمور,البصرة,رملية,رش محوري,عادية,داب (DAP),101.0,42.3,40.7,1731.0
فواكه,بغداد,مختلطة,تنقيط,محسنة,عضوي,112.0,25.4,70.2,1850.0
ذرة,واسط,طينية,رش محوري,محسنة,مركب (NPK),45.0,20.7,50.3,1333.0
خضراوات,البصرة,طينية,رش محوري,عادية,يوريا (N),37.0,43.8,67.6,1892.0
حنطة,بابل,مختلطة,سيحي/غمر,عادية,عضوي,39.0,34.1,47.3,1293.0
رز,واسط,طينية,سيحي/غمر,محسنة,مركب (NPK),83.0,15.5,76.0,956.0
تمور,بغداد,طينية,سيحي/غمر,محسنة,مركب (NPK),91.0,39.9,38.2,1639.0
حنطة,الموصل,رملية,رش محوري,عادية,يوريا (N),109.0,42.3,76.6,1024.0
رز,الأنبار,مختلطة,تنقيط,محسنة,عضوي,53.0,22.3,75.5,1112.0
خضراوات,كربلاء,رملية,تنقيط,محسنة,داب (DAP),112.0,20.5,54.4,3507.0
رز,بغداد,مختلطة,تنقيط,محسنة,عضوي,85.0,34.4,21.1,1600.0
حنطة,ميسان,مختلطة,سيحي/غمر,عادية,عضوي,47.0,28.6,22.6,882.0
رز,الموصل,رملية,تنقيط,محسنة,داب (DAP),95.0,21.0,77.5,1451.0
شعير,كربلاء,طينية,رش محوري,عادية,عضوي,58.0,36.7,32.7,906.0
خضراوات,واسط,طينية,تنقيط,محسنة,مركب (NPK),111.0,18.4,66.4,2756.0
شعير,البصرة,رملية,رش محوري,محسنة,عضوي,41.0,23.3,39.5,1537.0
تمور,ميسان,رملية,تنقيط,محسنة,عضوي,105.0,37.2,72.0,2394.0
ذرة,ميسان,مختلطة,سيحي/غمر,محسنة,عضوي,114.0,22.9,76.0,1438.0
تمور,النجف,طينية,سيحي/غمر,محسنة,عضوي,71.0,34.7,34.4,1664.0
ذرة,البصرة,رملية,تنقيط,عادية,عضوي,92.0,32.4,63.8,1283.0
ذرة,كربلاء,طينية,تنقيط,محسنة,عضوي,78.0,28.7,35.7,965.0
ذرة,البصرة,طينية,تنقيط,عادية,مركب (NPK),43.0,29.3,79.5,1135.0
فواكه,ميسان,طينية,سيحي/غمر,محسنة,مركب (NPK),112.0,29.6,48.7,2626.0
حنطة,ديالى,رملية,رش محوري,عادية,مركب (NPK),46.0,29.6,50.3,981.0
خضراوات,كربلاء,طينية,سيحي/غمر,محسنة,مركب (NPK),27.0,23.0,64.1,2234.0
تمور,النجف,طينية,سيحي/غمر,محسنة,داب (DAP),24.0,22.6,44.4,1528.0
شعير,الأنبار,طينية,تنقيط,عادية,يوريا (N),59.0,40.6,66.9,562.0
خضراوات,بغداد,مختلطة,تنقيط,محسنة,يوريا (N),98.0,22.3,27.9,2725.0
فواكه,الأنبار,طينية,رش محوري,عادية,يوريا (N),65.0,25.3,53.7,1733.0
حنطة,ميسان,مختلطة,تنقيط,عادية,عضوي,22.0,35.9,29.9,1088.0
خضراوات,كربلاء,رملية,تنقيط,محسنة,داب (DAP),113.0,35.1,71.8,2230.0
حنطة,ديالى,مختلطة,رش محوري,عادية,داب (DAP),30.0,24.6,53.1,759.0
فواكه,واسط,طينية,تنقيط,محسنة,داب (DAP),20.0,35.1,20.0,2137.0
خضراوات,الموصل,رملية,تنقيط,عادية,يوريا (N),77.0,43.9,58.5,1601.0
حنطة,الموصل,رملية,سيحي/غمر,عادية,يوريا (N),20.0,44.8,59.5,307.0
فواكه,بغداد,مختلطة,سيحي/غمر,عادية,يوريا (N),68.0,42.8,77.0,1768.0
تمور,الأنبار,طينية,سيحي/غمر,محسنة,يوريا (N),51.0,32.6,73.7,1788.0
شعير,الموصل,طينية,سيحي/غمر,عادية,داب (DAP),55.0,26.2,60.2,849.0
شعير,ديالى,طينية,رش محوري,محسنة,داب (DAP),61.0,30.8,38.2,1106.0
تمور,النجف,رملية,سيحي/غمر,عادية,عضوي,92.0,22.4,51.9,1901.0
ذرة,البصرة,رملية,رش محوري,محسنة,داب (DAP),50.0,20.7,54.4,1019.0
فواكه,البصرة,طينية,رش محوري,محسنة,داب (DAP),99.0,16.5,36.1,2685.0
خضراوات,بابل,رملية,رش محوري,محسنة,مركب (NPK),36.0,30.4,36.1,2036.0
ذرة,البصرة,طينية,رش محوري,محسنة,مركب (NPK),23.0,19.9,79.1,662.0
فواكه,بغداد,رملية,رش محوري,محسنة,داب (DAP),82.0,36.1,47.2,3175.0
تمور,بغداد,طينية,سيحي/غمر,محسنة,يوريا (N),94.0,20.7,74.1,2238.0
فواكه,ميسان,طينية,سيحي/غمر,محسنة,عضوي,86.0,25.9,35.1,3418.0
تمور,النجف,رملية,سيحي/غمر,محسنة,داب (DAP),69.0,33.6,37.0,1603.0
رز,كربلاء,طينية,رش محوري,عادية,مركب (NPK),97.0,23.3,23.7,1298.0
ذرة,النجف,طينية,سيحي/غمر,عادية,يوريا (N),114.0,19.5,48.1,1524.0
ذرة,بابل,رملية,تنقيط,محسنة,يوريا (N),58.0,27.7,46.8,1197.0
خضراوات,واسط,رملية,تنقيط,عادية,مركب (NPK),63.0,18.5,57.0,2462.0
خضراوات,واسط,مختلطة,سيحي/غمر,عادية,مركب (NPK),36.0,37.0,23.3,2556.0
ذرة,بغداد,طينية,رش محوري,محسنة,مركب (NPK),20.0,41.9,32.6,596.0
شعير,ميسان,طينية,رش محوري,عادية,مركب (NPK),52.0,25.2,62.5,1018.0
فواكه,واسط,مختلطة,تنقيط,محسنة,داب (DAP),60.0,28.8,60.6,2062.0
خضراوات,كربلاء,مختلطة,سيحي/غمر,عادية,يوريا (N),38.0,44.9,70.7,1730.0
فواكه,بغداد,رملية,سيحي/غمر,عادية,مركب (NPK),70.0,33.4,40.0,2134.0
تمور,ديالى,طينية,سيحي/غمر,عادية,داب (DAP),107.0,15.4,72.3,1466.0
حنطة,الموصل,مختلطة,تنقيط,محسنة,عضوي,32.0,35.4,45.3,1276.0
رز,كربلاء,رملية,سيحي/غمر,محسنة,مركب (NPK),49.0,23.2,32.8,1083.0
خضراوات,بغداد,طينية,تنقيط,عادية,عضوي,53.0,44.1,36.6,2332.0
خضراوات,بغداد,مختلطة,رش محوري,عادية,داب (DAP),52.0,42.9,70.2,2210.0
رز,ميسان,رملية,رش محوري,محسنة,عضوي,61.0,22.2,67.2,925.0
شعير,ديالى,مختلطة,رش محوري,عادية,يوريا (N),22.0,36.7,36.4,1166.0
ذرة,واسط,طينية,تنقيط,عادية,مركب (NPK),52.0,40.2,62.1,918.0
فواكه,ميسان,طينية,سيحي/غمر,محسنة,يوريا (N),21.0,38.2,45.1,2127.0
خضراوات,بغداد,طينية,رش محوري,عادية,داب (DAP),103.0,36.1,76.7,2512.0
حنطة,الأنبار,مختلطة,سيحي/غمر,محسنة,يوريا (N),116.0,31.3,34.0,1470.0
فواكه,البصرة,مختلطة,سيحي/غمر,محسنة,مركب (NPK),31.0,25.3,69.9,1608.0
ذرة,الموصل,رملية,سيحي/غمر,عادية,عضوي,83.0,27.4,33.4,1449.0
حنطة,بابل,مختلطة,سيحي/غمر,عادية,يوريا (N),28.0,18.6,52.1,1063.0
فواكه,الموصل,مختلطة,سيحي/غمر,محسنة,عضوي,25.0,43.3,22.9,1935.0
ذرة,بغداد,رملية,سيحي/غمر,عادية,مركب (NPK),44.0,37.0,38.3,732.0
رز,بغداد,رملية,سيحي/غمر,محسنة,مركب (NPK),35.0,38.1,72.9,497.0
رز,واسط,طينية,رش محوري,عادية,مركب (NPK),35.0,28.5,39.2,1632.0
فواكه,ديالى,طينية,سيحي/غمر,محسنة,مركب (NPK),52.0,30.4,59.0,3240.0
فواكه,الموصل,مختلطة,تنقيط,عادية,يوريا (N),36.0,30.8,73.2,2564.0
تمور,كربلاء,رملية,سيحي/غمر,محسنة,مركب (NPK),46.0,15.7,47.0,886.0
فواكه,واسط,رملية,سيحي/غمر,محسنة,داب (DAP),119.0,29.5,61.1,2211.0
ذرة,النجف,طينية,تنقيط,محسنة,يوريا (N),31.0,36.5,60.2,1049.0
رز,كربلاء,مختلطة,سيحي/غمر,محسنة,يوريا (N),49.0,25.7,36.6,1535.0
رز,واسط,طينية,سيحي/غمر,عادية,يوريا (N),66.0,41.5,51.7,1248.0
فواكه,بغداد,طينية,سيحي/غمر,محسنة,مركب (NPK),22.0,20.2,54.8,2325.0
شعير,كربلاء,مختلطة,تنقيط,محسنة,عضوي,59.0,40.1,24.3,943.0
ذرة,بابل,مختلطة,سيحي/غمر,محسنة,مركب (NPK),109.0,41.9,35.9,1134.0
تمور,كربلاء,مختلطة,تنقيط,محسنة,داب (DAP),23.0,29.4,21.0,955.0
خضراوات,كربلاء,رملية,رش محوري,عادية,عضوي,114.0,43.6,33.4,3459.0
شعير,البصرة,مختلطة,سيحي/غمر,عادية,عضوي,41.0,32.0,75.7,742.0
رز,بغداد,مختلطة,تنقيط,عادية,عضوي,105.0,19.2,20.0,1569.0
فواكه,النجف,طينية,رش محوري,محسنة,مركب (NPK),47.0,32.4,29.8,2375.0
ذرة,الأنبار,رملية,سيحي/غمر,عادية,يوريا (N),80.0,24.1,59.7,992.0
رز,ديالى,رملية,سيحي/غمر,عادية,يوريا (N),65.0,22.9,72.9,1039.0
فواكه,الأنبار,مختلطة,تنقيط,عادية,يوريا (N),76.0,44.5,51.7,2628.0
تمور,كربلاء,رملية,سيحي/غمر,عادية,يوريا (N),48.0,24.7,40.1,895.0
تمور,كربلاء,مختلطة,سيحي/غمر,محسنة,داب (DAP),85.0,34.0,37.3,2234.0
تمور,كربلاء,مختلطة,تنقيط,عادية,داب (DAP),32.0,15.7,54.9,1174.0
شعير,بابل,مختلطة,تنقيط,عادية,يوريا (N),118.0,19.4,71.3,1256.0
رز,بغداد,طينية,سيحي/غمر,عادية,يوريا (N),66.0,18.5,26.4,1657.0
شعير,البصرة,طينية,تنقيط,محسنة,مركب (NPK),79.0,29.4,47.6,1072.0
حنطة,الموصل,مختلطة,سيحي/غمر,محسنة,مركب (NPK),82.0,25.6,42.9,1308.0
ذرة,واسط,رملية,تنقيط,محسنة,يوريا (N),63.0,31.8,25.7,970.0
تمور,بابل,رملية,سيحي/غمر,محسنة,مركب (NPK),20.0,21.2,74.4,1138.0
تمور,ديالى,مختلطة,رش محوري,محسنة,مركب (NPK),62.0,28.9,69.2,1918.0
رز,الموصل,طينية,سيحي/غمر,عادية,داب (DAP),26.0,38.7,37.7,993.0
فواكه,كربلاء,طينية,تنقيط,محسنة,مركب (NPK),114.0,20.9,20.6,2786.0
شعير,ميسان,رملية,تنقيط,محسنة,مركب (NPK),27.0,38.3,64.9,579.0
خضراوات,الموصل,رملية,سيحي/غمر,عادية,داب (DAP),57.0,37.4,25.6,1662.0
ذرة,النجف,مختلطة,تنقيط,عادية,مركب (NPK),81.0,19.5,50.2,1547.0
ذرة,النجف,مختلطة,سيحي/غمر,عادية,يوريا (N),95.0,22.7,73.1,1364.0
رز,كربلاء,طينية,تنقيط,عادية,يوريا (N),112.0,18.9,67.8,1441.0
تمور,الأنبار,مختلطة,تنقيط,محسنة,يوريا (N),26.0,15.1,34.7,1252.0
تمور,بابل,طينية,تنقيط,عادية,مركب (NPK),51.0,16.1,39.0,1321.0
ذرة,الموصل,طينية,تنقيط,عادية,يوريا (N),103.0,39.7,66.2,1178.0
حنطة,النجف,مختلطة,تنقيط,محسنة,يوريا (N),48.0,44.9,73.3,591.0
حنطة,النجف,طينية,سيحي/غمر,محسنة,يوريا (N),75.0,19.2,57.5,1565.0
خضراوات,الموصل,مختلطة,تنقيط,عادية,مركب (NPK),57.0,41.8,51.8,2421.0
تمور,ميسان,مختلطة,سيحي/غمر,عادية,عضوي,58.0,29.1,55.9,1184.0
ذرة,ميسان,رملية,سيحي/غمر,محسنة,داب (DAP),72.0,19.8,74.4,702.0
حنطة,ديالى,طينية,سيحي/غمر,عادية,يوريا (N),98.0,39.1,56.9,1379.0
شعير,بابل,طينية,تنقيط,محسنة,مركب (NPK),80.0,38.8,70.3,1011.0
شعير,الموصل,طينية,رش محوري,عادية,مركب (NPK),99.0,22.8,37.5,1557.0
شعير,الموصل,مختلطة,سيحي/غمر,محسنة,داب (DAP),42.0,25.9,65.4,1068.0
حنطة,الموصل,رملية,سيحي/غمر,محسنة,عضوي,54.0,30.7,44.1,910.0
شعير,النجف,طينية,رش محوري,عادية,مركب (NPK),22.0,25.1,55.3,996.0
فواكه,الموصل,طينية,سيحي/غمر,عادية,مركب (NPK),89.0,16.8,56.7,2269.0
رز,ديالى,طينية,رش محوري,محسنة,داب (DAP),107.0,40.7,40.8,2043.0
شعير,ميسان,رملية,تنقيط,محسنة,عضوي,52.0,18.0,62.5,882.0
حنطة,النجف,مختلطة,سيحي/غمر,محسنة,عضوي,82.0,35.8,68.1,1095.0
فواكه,بابل,طينية,رش محوري,عادية,مركب (NPK),42.0,18.7,46.0,2494.0
حنطة,الأنبار,رملية,تنقيط,محسنة,يوريا (N),35.0,28.5,54.2,923.0
شعير,ميسان,طينية,تنقيط,محسنة,يوريا (N),105.0,31.7,63.8,1337.0
رز,ديالى,مختلطة,سيحي/غمر,عادية,يوريا (N),55.0,41.8,46.9,1083.0
شعير,النجف,رملية,رش محوري,محسنة,عضوي,112.0,44.3,51.9,1379.0
خضراوات,بغداد,مختلطة,رش محوري,عادية,عضوي,33.0,26.6,77.3,2721.0
شعير,ديالى,رملية,رش محوري,محسنة,داب (DAP),33.0,18.8,67.2,728.0
ذرة,بابل,رملية,تنقيط,محسنة,عضوي,38.0,20.2,51.8,977.0
حنطة,كربلاء,طينية,تنقيط,عادية,داب (DAP),64.0,22.9,70.3,949.0
تمور,الموصل,طينية,رش محوري,محسنة,عضوي,105.0,16.9,43.8,2348.0
شعير,ميسان,طينية,رش محوري,محسنة,مركب (NPK),29.0,26.2,77.1,587.0
ذرة,الأنبار,مختلطة,تنقيط,محسنة,مركب (NPK),70.0,35.2,31.8,1314.0
خضراوات,البصرة,مختلطة,رش محوري,عادية,عضوي,89.0,27.1,67.0,3328.0
حنطة,بغداد,طينية,تنقيط,عادية,مركب (NPK),73.0,16.6,61.1,830.0
خضراوات,بابل,رملية,رش محوري,عادية,مركب (NPK),74.0,34.8,74.6,2929.0
حنطة,واسط,مختلطة,تنقيط,عادية,يوريا (N),102.0,21.7,40.4,1725.0
فواكه,بغداد,طينية,رش محوري,عادية,داب (DAP),50.0,41.2,43.7,1634.0
تمور,بغداد,طينية,سيحي/غمر,عادية,عضوي,99.0,17.0,31.5,1786.0
فواكه,ميسان,رملية,رش محوري,محسنة,عضوي,20.0,16.8,38.3,1272.0
فواكه,الأنبار,طينية,سيحي/غمر,عادية,عضوي,45.0,31.9,38.8,2187.0
فواكه,ميسان,رملية,رش محوري,محسنة,يوريا (N),54.0,25.3,30.1,2916.0
ذرة,النجف,رملية,تنقيط,عادية,يوريا (N),90.0,38.9,55.4,963.0
تمور,واسط,رملية,رش محوري,محسنة,يوريا (N),75.0,15.7,44.7,1350.0
فواكه,واسط,طينية,تنقيط,محسنة,مركب (NPK),71.0,38.7,68.2,1931.0
حنطة,بابل,رملية,سيحي/غمر,عادية,مركب (NPK),76.0,24.8,32.6,857.0
رز,البصرة,رملية,تنقيط,عادية,عضوي,67.0,39.5,23.8,1305.0
فواكه,ميسان,طينية,رش محوري,محسنة,عضوي,114.0,19.2,56.5,2020.0
ذرة,كربلاء,مختلطة,رش محوري,عادية,مركب (NPK),30.0,18.8,74.2,1028.0
شعير,واسط,رملية,سيحي/غمر,محسنة,يوريا (N),31.0,39.9,77.4,364.0
شعير,كربلاء,طينية,رش محوري,عادية,داب (DAP),66.0,18.7,55.2,1686.0
ذرة,البصرة,مختلطة,رش محوري,محسنة,داب (DAP),45.0,15.9,56.3,826.0
حنطة,كربلاء,مختلطة,رش محوري,عادية,مركب (NPK),110.0,18.2,31.1,1204.0
تمور,واسط,طينية,تنقيط,محسنة,عضوي,43.0,42.1,71.9,1324.0
فواكه,النجف,رملية,سيحي/غمر,محسنة,داب (DAP),69.0,27.0,37.1,1334.0
حنطة,واسط,رملية,تنقيط,عادية,عضوي,64.0,20.4,48.1,1707.0
خضراوات,النجف,مختلطة,رش محوري,عادية,يوريا (N),33.0,43.9,70.0,1826.0
ذرة,النجف,مختلطة,سيحي/غمر,محسنة,يوريا (N),89.0,30.8,80.0,1622.0
فواكه,النجف,طينية,رش محوري,عادية,داب (DAP),60.0,38.7,57.1,1286.0
رز,بابل,رملية,سيحي/غمر,محسنة,داب (DAP),118.0,29.1,37.6,1034.0
ذرة,كربلاء,رملية,سيحي/غمر,محسنة,عضوي,106.0,40.6,35.5,1002.0
خضراوات,ديالى,مختلطة,رش محوري,محسنة,يوريا (N),25.0,44.1,64.8,1182.0
تمور,بابل,مختلطة,سيحي/غمر,عادية,عضوي,82.0,26.0,39.0,2834.0
فواكه,كربلاء,رملية,تنقيط,محسنة,يوريا (N),37.0,30.3,42.8,2496.0
رز,البصرة,مختلطة,رش محوري,عادية,مركب (NPK),27.0,32.1,65.6,787.0
رز,ميسان,رملية,تنقيط,عادية,عضوي,59.0,18.5,79.2,1090.0
ذرة,النجف,طينية,سيحي/غمر,عادية,عضوي,107.0,27.6,31.5,1242.0
رز,بابل,مختلطة,رش محوري,محسنة,يوريا (N),64.0,34.6,45.0,1101.0
تمور,الأنبار,طينية,رش محوري,محسنة,مركب (NPK),107.0,34.1,63.8,2720.0
شعير,ديالى,مختلطة,سيحي/غمر,عادية,عضوي,112.0,43.9,74.1,891.0
تمور,واسط,طينية,تنقيط,محسنة,مركب (NPK),66.0,23.8,20.9,1279.0
فواكه,بابل,مختلطة,سيحي/غمر,عادية,داب (DAP),41.0,34.5,59.2,3073.0
رز,ديالى,طينية,تنقيط,عادية,يوريا (N),90.0,37.9,21.1,1836.0
حنطة,الأنبار,طينية,سيحي/غمر,عادية,مركب (NPK),20.0,44.3,79.7,721.0
ذرة,ديالى,مختلطة,تنقيط,محسنة,داب (DAP),99.0,44.2,29.2,1004.0
خضراوات,واسط,رملية,سيحي/غمر,محسنة,يوريا (N),70.0,34.6,62.8,2217.0
فواكه,ديالى,رملية,تنقيط,عادية,مركب (NPK),88.0,19.9,49.3,3984.0
شعير,كربلاء,رملية,سيحي/غمر,محسنة,عضوي,40.0,35.4,58.1,1103.0
ذرة,بغداد,طينية,سيحي/غمر,محسنة,داب (DAP),66.0,20.3,37.1,1537.0
خضراوات,بغداد,طينية,رش محوري,عادية,عضوي,26.0,25.1,69.0,2489.0
فواكه,بغداد,مختلطة,رش محوري,عادية,عضوي,99.0,17.0,55.6,3081.0
خضراوات,واسط,مختلطة,سيحي/غمر,محسنة,يوريا (N),71.0,29.6,52.5,4145.0
خضراوات,ديالى,طينية,رش محوري,عادية,عضوي,21.0,23.4,80.0,1474.0
حنطة,واسط,رملية,رش محوري,محسنة,مركب (NPK),92.0,18.2,21.1,1327.0
حنطة,الموصل,طينية,سيحي/غمر,محسنة,مركب (NPK),22.0,40.4,20.6,760.0
حنطة,واسط,طينية,سيحي/غمر,عادية,يوريا (N),22.0,15.0,49.8,1059.0
خضراوات,الأنبار,طينية,رش محوري,محسنة,مركب (NPK),75.0,34.2,72.6,2275.0
شعير,بغداد,رملية,تنقيط,عادية,داب (DAP),91.0,44.4,65.5,1191.0
خضراوات,بغداد,مختلطة,سيحي/غمر,محسنة,مركب (NPK),37.0,15.6,56.3,1431.0
ذرة,كربلاء,رملية,تنقيط,عادية,داب (DAP),112.0,16.0,44.6,1011.0
